Timestamp,MAC Src,MAC Dst,IP Version,Protocol,IP Src,Src Port,IP Dst,Dst Port,TTL,IP Header Len,TCP Flags,Window Size,ICMP Type,ICMP Code,Length,protocol_type_tcp,protocol_type_udp,protocol_type_icmp,flag_S0,flag_SF,flag_REJ,flag_RSTO,flag_RSTR,service_http,service_domain,service_ftp_data,service_ssh,service_smtp,service_private,service_other
2025-06-23 00:24:57,52:55:0a:00:02:02,08:00:27:20:f7:21,4,TCP,185.199.110.133,443,10.0.2.15,36664,64,20,A,65535,,,60,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2025-06-23 00:24:57,08:00:27:20:f7:21,52:55:0a:00:02:02,4,TCP,10.0.2.15,36162,185.199.110.133,443,64,20,S,64240,,,74,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2025-06-23 00:24:57,52:55:0a:00:02:02,08:00:27:20:f7:21,4,TCP,185.199.110.133,443,10.0.2.15,36162,64,20,SA,65535,,,60,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2025-06-23 00:24:57,08:00:27:20:f7:21,52:55:0a:00:02:02,4,TCP,10.0.2.15,36162,185.199.110.133,443,64,20,A,64240,,,54,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2025-06-23 00:24:57,08:00:27:20:f7:21,52:55:0a:00:02:02,4,TCP,10.0.2.15,36162,185.199.110.133,443,64,20,PA,64240,,,2076,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2025-06-23 00:24:57,52:55:0a:00:02:02,08:00:27:20:f7:21,4,TCP,185.199.110.133,443,10.0.2.15,36162,64,20,A,65535,,,60,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2025-06-23 00:24:57,52:55:0a:00:02:02,08:00:27:20:f7:21,4,TCP,185.199.110.133,443,10.0.2.15,36162,64,20,A,65535,,,60,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2025-06-23 00:24:57,52:55:0a:00:02:02,08:00:27:20:f7:21,4,TCP,185.199.110.133,443,10.0.2.15,36162,64,20,PA,65535,,,1414,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2025-06-23 00:24:57,08:00:27:20:f7:21,52:55:0a:00:02:02,4,TCP,10.0.2.15,36162,185.199.110.133,443,64,20,A,65535,,,54,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2025-06-23 00:24:57,08:00:27:20:f7:21,52:55:0a:00:02:02,4,TCP,10.0.2.15,36162,185.199.110.133,443,64,20,PA,65535,,,118,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2025-06-23 00:24:57,52:55:0a:00:02:02,08:00:27:20:f7:21,4,TCP,185.199.110.133,443,10.0.2.15,36162,64,20,A,65535,,,60,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2025-06-23 00:24:57,52:55:0a:00:02:02,08:00:27:20:f7:21,4,TCP,185.199.110.133,443,10.0.2.15,36162,64,20,PA,65535,,,235,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2025-06-23 00:24:57,08:00:27:20:f7:21,52:55:0a:00:02:02,4,TCP,10.0.2.15,36162,185.199.110.133,443,64,20,A,65535,,,54,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2025-06-23 00:24:59,08:00:27:20:f7:21,52:55:0a:00:02:02,4,UDP,10.0.2.15,123,162.159.200.123,123,64,20,,,,,90,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2025-06-23 00:24:59,52:55:0a:00:02:02,08:00:27:20:f7:21,4,UDP,162.159.200.123,123,10.0.2.15,123,64,20,,,,,90,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2025-06-23 00:25:00,08:00:27:20:f7:21,52:55:0a:00:02:02,4,UDP,10.0.2.15,123,15.207.248.194,123,64,20,,,,,90,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2025-06-23 00:25:00,52:55:0a:00:02:02,08:00:27:20:f7:21,4,UDP,15.207.248.194,123,10.0.2.15,123,64,20,,,,,90,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2025-06-23 00:25:02,08:00:27:20:f7:21,52:56:00:00:00:02,,,,,,,,,,,,,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-06-23 00:25:02,52:56:00:00:00:02,08:00:27:20:f7:21,,,,,,,,,,,,,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-06-23 00:25:06,52:55:0a:00:02:02,08:00:27:20:f7:21,4,TCP,185.199.110.133,443,10.0.2.15,36664,64,20,RA,65535,,,60,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2025-06-23 00:25:06,08:00:27:20:f7:21,52:55:0a:00:02:02,4,UDP,10.0.2.15,123,95.216.144.226,123,64,20,,,,,90,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2025-06-23 00:25:06,52:55:0a:00:02:02,08:00:27:20:f7:21,4,UDP,95.216.144.226,123,10.0.2.15,123,64,20,,,,,90,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
